公開日,動画ID,企業名,証券コード,動画タイトル,長さ秒,視聴回数,公開日視聴回数,公開後3日視聴回数,公開後7日視聴回数,総再生時間_時間,平均視聴時間,平均視聴率_%,インプレッション数,CTR_%,チャンネル登録者増減,主テーマ,テーマタグ,フック型
2026-07-10,FZazL5XS_fw,良品計画,,【良品計画】経常利益990億円の深層！無印良品のグローバル戦略と「中国依存」リスクを徹底解剖,558,18,0,0,0,0.8008,0:02:40,28.7,575,2.09,0,消費・IP・小売,消費・IP・小売,矛盾・逆説 × 業績サプライズ
2026-07-09,1XNo0hTd1Kc,パワーエックス,,【蓄電インフラの本命】パワーエックスの業績ロードマップと信用倍率709倍の需給動向を客観的に解説,630,161,0,0,0,10.8711,0:04:03,38.6,3386,3.48,2,原発・エネルギー・再エネ,原発・エネルギー・再エネ,バリュエーション・需給
2026-07-08,yF5ucLxQLsU,リミックスポイント,,リミックスポイント final video,550,22,0,0,0,1.1076,0:03:01,32.9,516,1.94,0,その他,その他,企業変化・深掘り
2026-07-07,3s24LgNa3B0,放電精密加工研究所,,【放電精密加工研究所】大幅上方修正の深層！防衛・AI特需と今後の株価防衛線を徹底解説,558,116,0,0,0,5.614,0:02:54,31.2,659,9.26,0,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,業績サプライズ × 提携・需要変化
2026-07-06,h2mcGEc0hcY,窪田製薬HD,,【窪田製薬HD徹底検証】株価急伸の背景と、特例承認プロセスにおける需給・財務リスクを考察,582,415,0,0,0,26.3459,0:03:48,39.2,2382,12.93,2,ヘルスケア,ヘルスケア,矛盾・逆説 × 急騰・需給
2026-07-03,qvWP9uPmD-Y,AIメカテック,,【AIメカテック徹底検証】業績急成長と信用倍率10.74倍から読み解く株価の現在地,568,351,0,0,0,17.9458,0:03:04,32.4,3123,7.27,2,AI・半導体・データセンター,AI・半導体・データセンター,バリュエーション・需給
2026-07-02,7bs6ELSOGFg,任天堂,,【サウジ1.8兆円の衝撃】任天堂の株価反発と誰も語らない「利益率低下」の深層,705,96,0,0,0,2.5266,0:01:34,13.3,893,2.91,0,消費・IP・小売,消費・IP・小売,業績サプライズ × 急騰・需給
2026-07-01,-7RNcKxLsWc,菊池製作所,,菊池製作所の深層：フィジカルAIの熱狂とPER105倍の現実,567,152,0,0,0,10.7782,0:04:15,45.0,1025,10.83,1,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-06-30,ss_JrKiSyZw,Link-U,,【大化けAI株】エンジニア不要!? AIコード生成98%の「Link-U」が狙う世界覇権と、TOPIX除外を逆手に取るプロの勝率アップ戦略,701,95,0,0,0,6.8273,0:04:18,36.8,1005,7.26,0,AI・半導体・データセンター,AI・半導体・データセンター | SaaS・IT・DX,企業変化・深掘り
2026-06-29,EXv89Z4tXZ0,ダイナミックマップ,,【次世代AIインフラの本命】粗利率80%超え!? フィジカルAIへと進化するダイナミックマップに、今から乗るための“絶対防衛ライン”,704,160,0,0,0,11.5454,0:04:19,36.8,1985,6.45,1,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,企業変化・深掘り
2026-06-26,9qhfAvXGR1U,アール・エス・シー,,警備会社がフィジカルAIインフラへ大覚醒!? アール・エス・シーの爆上げと、絶対に死守すべき「1060円の絶対防衛ライン」,578,401,0,0,0,8.2212,0:01:13,12.6,13120,2.48,1,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,急騰・需給
2026-06-25,yz_uWHlsIF8,セレス,,ビットバンク売却で55億円の特別利益!? モッピー運営「セレス」の熱狂と、過去のしこり玉が密集する「1805円の壁」のリアル,635,78,0,0,0,2.9302,0:02:15,21.3,1184,3.63,-1,その他,その他,業績サプライズ
2026-06-24,rSpIRpNrtto,パナソニック,,【祝・万年割安株からの脱却】スーパーキャパシタ量産で急騰のパナソニック！売上1兆円の夢と絶対に死守すべき「3703円の防衛線」,682,361,0,0,0,13.1186,0:02:10,19.1,6957,3.79,4,防衛・宇宙・ドローン,防衛・宇宙・ドローン | 原発・エネルギー・再エネ,急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-06-23,Jlc-Jtd81o0,サンリオ,,【3期連続最高益】キティ＆クロミ無双で営業利益778億円！世界のサンリオに飛び乗る前に知るべき「818円の岩盤サポート」,488,309,0,0,0,15.9423,0:03:05,37.9,2560,8.95,0,消費・IP・小売,消費・IP・小売,業績サプライズ
2026-06-22,q1uDScvMQfg,トライアイズ,,【テンバガー候補】株価500円台の超・原石！トライアイズが描く「AI×老舗企業再生」の夢と、プロが虎視眈々と狙う「第1号M&A」の号砲,588,164,0,0,0,4.7298,0:01:43,17.5,1492,7.24,0,AI・半導体・データセンター,AI・半導体・データセンター | 資本政策・M&A・ガバナンス,企業変化・深掘り
2026-06-19,BTCe24GOWqk,北川精機,,【大化け半導体株】エヌビディア特需で覚醒！世界トップシェア「北川精機」の果てなき成長力と、安全に波に乗るための絶対条件,692,594,0,0,0,24.1083,0:02:26,21.1,6269,7.4,9,AI・半導体・データセンター,AI・半導体・データセンター,提携・需要変化
2026-06-18,Z4tzAXpPz0s,北浜キャピタル,,【超低位株の罠】株価20円台の北浜キャピタルが油液浸冷却で爆上げ！プロが警戒する「5.48億株の希薄化と巨額赤字」のリアル,636,1180,0,0,0,69.8449,0:03:33,33.5,7048,10.56,7,金融・金利,金融・金利,矛盾・逆説 × 急騰・需給
2026-06-17,6LlydS0_23w,三井ハイテック,,【大化け半導体株】AI向け「リードフレーム」特需で爆上げの三井ハイテック！飛び乗る前に知るべき「巨額減損リスク」のリアル,602,440,0,0,0,16.8772,0:02:18,22.9,6175,5.18,1,AI・半導体・データセンター,AI・半導体・データセンター | 資源・素材・製造,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-06-16,1C8YIiELECI,Terra Drone,,【防衛大化け株】迎撃ドローン量産で急騰のTerra Drone！ウクライナ実戦の熱狂と、飛び乗る前に知るべき「96万株の罠」,613,114,0,0,0,4.2102,0:02:12,21.5,1580,3.67,0,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-06-15,7JTpRZ6EAj4,テクニスコ,,【半導体株】株価1048円到達のテクニスコ！飛び乗る前に知っておきたい「PBR6倍の過熱感と薄商いの罠」のリアル,565,459,0,0,0,21.7511,0:02:50,30.1,4281,7.5,3,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-06-12,IvAkc1fwzUc,アクセルスペースHD,,【宇宙関連株】PSR18倍の熱狂！アクセルスペースHDに飛び乗る前に知っておきたい「営業赤字38億円と723万株のしこり」のリアル,567,275,0,0,0,14.813,0:03:13,34.0,5720,3.62,0,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説
2026-06-11,0rhTdpz0Jyc,三菱UFJ,,【日本株】日銀利上げで爆上げの「三菱UFJ」！純利益2.4兆円の裏でプロが警戒する「下値のメドと2つの死角」,635,99,0,0,0,3.977,0:02:24,22.7,1877,3.41,1,金融・金利,金融・金利,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-06-09,M64uEXXFdF8,ルネサス,,【半導体株】PER12倍のルネサスは超割安？ 飛び乗る前に知っておきたい「518億円の赤字と米国株ショック」のリアル,658,317,0,0,0,16.3326,0:03:06,28.3,4315,5.24,3,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-06-08,0ZIO4anzY5I,,,【宇宙関連株】株価一時4400円超えのQPS！PER320倍の熱狂の裏で、プロがこっそり狙う「2000円の窓埋め」のリアル,833,471,0,0,0,25.3824,0:03:14,23.3,4217,5.79,4,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × バリュエーション・需給
2026-06-06,oI_yFGUHZY0,ローツェ,,【半導体株】株価4500円超えのローツェ！飛び乗る前に知っておきたい「米国訴訟と387億円の在庫リスク」のリアル,653,288,0,0,0,14.7696,0:03:04,28.2,2971,6.77,2,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説
2026-06-05,IaCjWJ3vy48,さくらインターネット,,【大化け期待】株価2800円超えのさくらインターネット！飛び乗る前に知っておきたい「赤字転落と200億円の株ばらまき」のリアル,774,341,0,0,0,22.8644,0:04:01,31.1,4293,5.4,1,その他,その他,矛盾・逆説
2026-06-04,RGVNMIv9NeA,ispace,,【宇宙関連株】ispaceが急落から反発へ！飛び乗る前に知っておきたい「赤字177億円」のリアル,546,344,0,0,0,14.6219,0:02:33,28.0,4388,5.13,1,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給
2026-06-03,BuNbDIm2ieg,ニチコン,,【EV減速vsAI爆需】利回り＆収益改善のニチコン！株価3900円超えの熱狂の裏で、プロが狙う「底打ち」の絶対防衛ライン,638,144,0,0,0,4.2707,0:01:46,16.6,3195,2.28,1,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,矛盾・逆説
2026-06-02,FQHJqEfpZz8,豊和工業,,防衛関連株】株価1900円突破の豊和工業が爆上げ中！飛び乗る前にプロがこっそり確認する「もう一つの赤字事業」のリアル,820,774,0,0,0,33.6205,0:02:36,19.0,8086,6.72,8,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給
2026-06-01,2x5xGIWsYec,富士通,,【日本株】AI＆防衛で急騰の「富士通」！時価総額6.3兆円の覇権企業、ここからさらに波に乗るための「2つの確認ポイント」,647,106,0,0,0,1.8398,0:01:02,9.6,1609,2.18,0,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,急騰・需給
2026-05-29,Gp0dyrxdI_0,フィックスターズ,,フィックスターズって今から買っても間に合う？ 量子コンピューターの熱狂と、安全に利益を狙うための絶対防衛ライン,758,520,0,0,0,33.6607,0:03:53,30.7,7410,4.25,6,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,業績サプライズ
2026-05-28,yB05q6bx2eI,イーディーピー,,【日本株】次世代半導体で+21%急騰の「イーディーピー」！人工ダイヤの大本命、ここからさらに波に乗るための「2つの注意点」,541,301,0,0,0,18.8718,0:03:45,41.6,2613,7.12,1,AI・半導体・データセンター,AI・半導体・データセンター,急騰・需給
2026-05-27,WpAYWow2Yuw,,,【大化け期待】出来高3791%増で爆上げ中！飛び乗る前にプロがこっそり確認する「15kgから数万トン」の壁とは？,599,153,0,0,0,4.7723,0:01:52,18.7,1325,5.36,0,その他,その他,急騰・需給
2026-05-26,PGZEUuam-rA,川崎重工,,【日本株】NVIDIA協業で爆上げの「川崎重工」！AI×防衛の大本命、ここからさらに波に乗るための「2つの注意点」,641,466,0,0,0,24.0793,0:03:06,29.0,8217,4.1,3,AI・半導体・データセンター,AI・半導体・データセンター | 防衛・宇宙・ドローン,急騰・需給 × 提携・需要変化
2026-05-25,AJmfMOm5Sls,シンスペクティブ,,【日本株】防衛特需で急騰の「シンスペクティブ」！宇宙の大本命、ここからさらに波に乗るための「1つの注意点」,730,339,0,0,0,19.4925,0:03:27,28.4,4467,5.06,3,防衛・宇宙・ドローン,防衛・宇宙・ドローン,急騰・需給 × 提携・需要変化
2026-05-22, -qTAD9VNJHg,楽天銀行,,【暴落中】ストップ安の「楽天銀行」、大底はどこ？ 悪材料より厄介な「252万株の罠」とプロが狙う反発シナリオ,633,345,0,0,0,13.2217,0:02:17,21.6,7574,2.65,5,金融・金利,金融・金利,矛盾・逆説 × 急騰・需給
2026-05-21,aAso_jiDQhQ,ソシオネクスト,,【日本株】NVIDIA特需で+18%急騰の「ソシオネクスト」！AIの大本命、ここからさらに波に乗るための「1つの注意点」,749,838,0,0,0,59.9387,0:04:17,34.3,9425,6.34,3,AI・半導体・データセンター,AI・半導体・データセンター,急騰・需給 × 提携・需要変化
2026-05-20,j2uFT1pKGPE,UBE,,【日本株】日経暴落でも+20%急騰の「UBE」！高配当＆宇宙テーマの大本命、ここからさらに波に乗るための「1つの注意点」,667,360,0,0,0,22.9548,0:03:49,34.3,5483,4.87,1,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-05-19,FdWxDjGBIM4,テスHD,,【日本株/テスHD】1000億円特需でストップ高！大本命の再エネ株、さらなる高値へ向かうための「2つの確認ポイント」,586,984,0,0,0,55.9278,0:03:24,34.8,13260,5.32,7,原発・エネルギー・再エネ,原発・エネルギー・再エネ,急騰・需給 × 提携・需要変化
2026-05-18,DIhEv0TjUkY,関東電化,,【S高】AI特需でストップ高の「関東電化」。でも中身は「たった2社に依存」で超キケン!? 飛びついてはいけないヤバい理由,646,263,0,0,0,12.8785,0:02:56,27.2,2258,6.42,1,AI・半導体・データセンター,AI・半導体・データセンター | 資源・素材・製造,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-05-15,UffIvNL8fLg,荏原製作所,,【荏原製作所】荏原製作所って今買っていいの？ 売上絶好調の裏に隠された「信用買い13倍」の罠【半導体関連株】,589,564,0,0,0,24.8934,0:02:38,26.8,3192,10.65,4,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-05-14,of-AvGSADq8,ジャパンディスプレイ,,【決算発表】米国進出で爆上げの「ジャパンディスプレイ」。でも中身は「倒産リスク点灯」で超キケン!? 飛びついてはいけないヤバい理由,619,1800,0,0,0,124.564,0:04:09,40.2,16237,8.81,17,その他,その他,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-05-13,taTgfz1dUAc,インペックス,,【決算/インペックス】上方修正で最終益4500億円へ。利益率50%超の裏に潜む「黄金株リスク」と価格依存の罠を徹底解剖,560,518,0,0,0,22.1694,0:02:34,27.5,5225,5.67,2,その他,その他,矛盾・逆説 × 業績サプライズ
2026-05-12,f_G_acY5Jt4,ローム,,【日本株/ローム】決算■最終赤字1584億円でも買われる謎。PER52倍の罠と「会計上のマジック」を徹底解剖,751,394,0,0,0,25.5664,0:03:53,31.0,2756,9.94,1,その他,その他,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-05-11,vD5KR4XrkLk,TOWA,,【決算/TOWA】HBM特需でPER50倍も「2割超の減益」の衝撃。信用倍率8倍の罠と次世代技術の脅威を徹底解剖,726,1354,0,0,0,81.1893,0:03:35,29.6,12936,8.2,17,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化 × バリュエーション・需給
2026-05-08,pyv1_pwtQg4,太陽誘電,,【決算/太陽誘電】コンセンサス25%未達の衝撃。PER64倍の罠と「スマホ依存」の構造的弱点を徹底解剖,617,486,0,0,0,23.1868,0:02:51,27.7,6833,4.48,2,その他,その他,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-05-07,ZzIrT1d2m4g,助川電気,,"【上方修正/助川電気】核融合特需で急騰も「営業CF60%減」の異常事態。PER41倍の罠と信用倍率7,468倍の闇を徹底解剖【Stock Arena】",741,483,0,0,0,19.5106,0:02:25,19.6,9459,3.88,2,原発・エネルギー・再エネ,原発・エネルギー・再エネ,矛盾・逆説 × 業績サプライズ × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-05-01,LRNKHD90ThE,三菱商事,,日本株/三菱商事】純利益1.1兆円予想で急伸も、直近は「15%減益」の現実。伊藤忠との利益率格差と「3.4兆円の減損リスク」を徹底解剖【Stock Arena】,568,219,0,0,0,6.7914,0:01:51,19.5,5452,2.57,1,資源・素材・製造,資源・素材・製造,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-04-30,bU-TYOpKgaQ,SUMCO,,【日本株/SUMCO】AI特需で急騰も「営業利益96%減」の異常事態。PER算出不能の罠と、信越化学との決定的な構造差を徹底解剖【Stock Arena】,606,509,0,0,0,28.7289,0:03:23,33.5,6885,5.33,6,AI・半導体・データセンター,AI・半導体・データセンター | 資源・素材・製造,矛盾・逆説 × 業績サプライズ × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-30,rAAA7glPy5o,村田製作所,,【日本株/村田製作所】AI特需で営業利益+34%の裏側。437億円の巨額減損と「PER32倍の謎」を徹底解剖【Stock Arena】,552,144,0,0,0,2.999,0:01:14,13.4,1643,2.86,0,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化 × バリュエーション・需給
2026-04-30,eGedfjRrI5w,内外テック,3374,内外テック 3374 T 【日本株/内外テック】半導体特需でストップ高も「手元現金が減る」異常事態。PER17倍の罠と東エレク依存の闇を徹底解剖【Stock Arena】 video,574,124,0,0,0,6.3873,0:03:05,32.2,2406,3.24,5,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-29,QhRgPOmgBDU,NECキャピタル,,【NECキャピタル】最高益更新の裏で進む「660億円の赤字」。1兆円の有利子負債と金利上昇の罠を徹底解剖,589,197,0,0,0,7.8199,0:02:23,24.3,3614,4.68,2,金融・金利,金融・金利,矛盾・逆説 × 業績サプライズ
2026-04-28,HXCcgOM0Uws,NEC,,NECの深層：最高益でも売られる理由。巨大AI依存のジレンマと「PER15倍」への転落リスク,480,573,0,0,0,19.4538,0:02:02,25.4,7818,3.95,2,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-04-28,mbAcnZ8BqBY,関電工,,【関電工】データセンター特需で株価急騰の裏側。PER26倍の異常値と「利益を削る人手不足」の闇を徹底解剖,680,309,0,0,0,17.6145,0:03:25,30.1,4138,5.27,0,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-27,jW3y87r-g8k,フジ・メディアHD,,【フジ・メディアHD】純利益71%減の裏側。テレビ事業の「253億円赤字」と、不動産売却に群がるアクティビストの思惑を徹底解剖,544,74,0,0,0,1.4138,0:01:08,12.5,2314,1.77,0,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス,矛盾・逆説 × 業績サプライズ
2026-04-27,8P-YiIGlBjE,ミナトHD,,【ミナトHD】AI特需で急騰も「黒字倒産リスク」浮上？PER9倍の罠と、103億円の借入に潜む財務の闇を徹底解剖,594,560,0,0,0,33.5433,0:03:36,36.4,5237,8.48,5,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-27,pHK8uMvoDT4,マクニカHD,,【マクニカHD】NVIDIA特需の裏で進む「利益率急悪化」。経常減益20%に潜む商権剥奪リスクと構造的歪みを徹底解剖,542,896,0,0,0,30.3678,0:02:02,22.5,11104,6.29,8,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化
2026-04-25,dR6SIFXqyLA,河西工業,7256,【河西工業/7256】株価急伸の裏側！日産・イクヨの思惑買いと、自己資本比率5.2%の「倒産リスク」を徹底解剖,658,384,0,0,0,21.5892,0:03:22,30.7,4467,5.46,2,その他,その他,矛盾・逆説 × 急騰・需給
2026-04-25,_3EAZlSh5zM,ACSL,,ACSLの深層：前日比12%急伸！ショートカバー相場の光と、PBR25倍に潜む「資金燃焼」の現実,705,1038,0,0,0,71.4337,0:04:07,35.0,9914,6.61,16,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-04-25, -KMuetmIAs0,東京エレクトロンデバイス,,"東京エレクトロンデバイスの深層：利益率1.3%の主力事業。決算前に立ちはだかる「3,400円のしこり玉」",629,406,0,0,0,14.6893,0:02:10,20.7,8124,3.55,1,その他,その他,業績サプライズ
2026-04-24,uULJgUopqWE,日東紡績,3110,【日東紡績/3110】AI半導体シェア100%の熱狂と「一本足打法」の罠。1年で10倍の無重力相場を徹底解剖,511,314,0,0,0,14.4022,0:02:45,32.3,5854,4.13,5,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説
2026-04-23,qTIkvUR_ysc,日本ギア,6356,【日本ギア/6356】原発再稼働でストップ高！独占シェア90%の熱狂と「11%減益予想」の罠を徹底解剖,752,416,0,0,0,25.2067,0:03:38,29.0,4709,5.42,7,原発・エネルギー・再エネ,原発・エネルギー・再エネ,矛盾・逆説 × 急騰・需給
2026-04-23,l6jdNIJF3CQ,オプトラン,6235,【オプトラン/6235】光電融合の熱狂と「業績半減」の現実。PER53倍の先食いか、大化けの初動か,591,351,0,0,0,16.351,0:02:47,28.3,3688,6.4,1,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-04-22,SPCRzy8PD3M,ザイン,6769,【ザイン/6769】AI光半導体の熱狂と「最終赤字」の罠。PER計算不能のマネーゲームを徹底解剖,546,1416,0,0,0,87.7656,0:03:43,40.8,10563,10.4,11,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-04-22,CVCUMNF_koE,テラドローン,278A,【テラドローン/278A】防衛特需で時価総額700億円へ。空のインフラ覇権と「資金枯渇」の罠を徹底解剖,652,767,0,0,0,32.9926,0:02:34,23.6,13228,4.76,7,防衛・宇宙・ドローン,防衛・宇宙・ドローン,矛盾・逆説 × 提携・需要変化
2026-04-21,cuI3UY3v3gI,フジクラ,5803,【フジクラ/5803】時価総額10兆円の熱狂と「PER75倍」の冷徹な現実。生成AI特需か、暴落の始まりか,589,857,0,0,0,52.3416,0:03:39,37.2,9260,7.13,16,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 提携・需要変化 × バリュエーション・需給
2026-04-21,Q__n0KC548c,リガク・ホールディングス,,"リガク・ホールディングス：ストップ高の裏側。上値の壁「2,821円」と理論的下値メドを解説",666,822,0,0,0,50.61,0:03:41,33.2,9510,6.42,6,その他,その他,矛盾・逆説 × 急騰・需給
2026-04-20,pHU3663gH1I,梅乃宿酒造,,【IPO解剖】梅乃宿酒造：老舗酒蔵の皮を被った「高収益リキュール工場」。配当利回り3.4%と「VCエグジット」の裏側,681,157,0,0,0,7.7016,0:02:56,25.8,3416,3.86,1,消費・IP・小売,消費・IP・小売 | 資本政策・M&A・ガバナンス,矛盾・逆説 × バリュエーション・需給
2026-04-20,KoVVQ_ay2Vg,JX金属,5016,【ＪＸ金属/5016】AI特需でPBR6倍の超プレミアム。裏に潜む「株主希薄化」と巨額投資の呪縛,635,1412,0,0,0,86.6508,0:03:40,34.6,19427,5.67,27,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 提携・需要変化 × バリュエーション・需給
2026-04-19,mF_kzkE7IJ4,abc,,【abc】フィジカルAI参入で急騰！見せかけの黒字と「GC注記・株価希薄化」の残酷な現実,793,371,0,0,0,18.1749,0:02:56,22.2,6705,4.59,3,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-04-18,nOBtQ8KqMLY,ヒーハイスト,,【ヒーハイスト】フィジカルAI熱狂で急騰（+18%）。エヌビディア連想の光と「慢性赤字・希薄化」の影,760,570,0,0,0,36.4228,0:03:50,30.3,8582,5.23,9,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給
