公開日,動画ID,企業名,証券コード,動画タイトル,主テーマ,フック型
2026-04-20,mF_kzkE7IJ4,abc,,【abc】フィジカルAI参入で急騰！見せかけの黒字と「GC注記・株価希薄化」の残酷な現実,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-04-19,nOBtQ8KqMLY,ヒーハイスト,,【ヒーハイスト】フィジカルAI熱狂で急騰（+18%）。エヌビディア連想の光と「慢性赤字・希薄化」の影,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給
2026-04-18,6irjGxFpmj4,キオクシア,,キオクシア 285A final video,その他,企業変化・深掘り
2026-04-18,RR9mLs5RgtA,バトンズ,,【新規上場】バトンズ：極小需給とロックアップの罠。上場半年後の暴落リスクと投資戦略【Stock Arena】,資本政策・M&A・ガバナンス,矛盾・逆説
2026-04-17,744vAmBXikY,テクノホライゾン,,テクノホライゾンの深層：エッジAIで株価急騰。裏で進行する「巨額評価損」と信用買い残の恐怖,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-04-17,VYcynJqnsyU,ウェルディッシュ,,監理銘柄ウェルディッシュの深層：M&A急拡大の果てに待つ「ガバナンス崩壊」とパニック売りの行方,資本政策・M&A・ガバナンス,企業変化・深掘り
2026-04-16,4sxqdyUBRsI,ダイキン,,【ダイキン】エリオット介入で株価急騰！売上4兆円の裏に潜む「利益率8.5%の罠」と改革の行方,資本政策・M&A・ガバナンス,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-04-16,EPazhvJ7Jd0,KLab,,KLabの深層：スクエニ共同開発の熱狂と、上値を潰す「新株予約権」の罠,SaaS・IT・DX,矛盾・逆説
2026-04-15,XD8tgLIwHvQ,note,,ノート（note）：決算後の15%急落。PER60倍の現実と「適正株価」のシナリオ,SaaS・IT・DX,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-04-15,y5HbBNKzJ0c,ベイカレント,,【高決算】ベイカレント：PER15倍の真実。圧倒的成長の裏で進行する「労働集約の限界」とは？,その他,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-04-14,NH01AGqUk98,インフォメティス,,インフォメティス：AIインフラの熱狂と「売上半減・資金枯渇」の現実。現在の株価は適正か？,AI・半導体・データセンター,矛盾・逆説
2026-04-14,BvnWdTTwSys,QDレーザ,6613,【QDレーザ(6613)】AIデータセンター需要で高PERの狂乱。光電融合の夢と「土建屋構造」の罠を徹底解剖【Stock Arena】,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-04-13,kWtTpnW-uW0,電通グループ,,【電通グループ】旧村上ファンド保有で株価急騰の罠。崩壊する業績と「狂乱の需給」を徹底解剖,資本政策・M&A・ガバナンス,矛盾・逆説 × 急騰・需給
2026-04-13,xEkmwt0UHYs,京進,4735,京進（4735）の記念配当と、教育ビジネスが抱える「構造的リスク」,消費・IP・小売,矛盾・逆説
2026-04-12,Klivqn7VoxY,TSIホールディングス,,TSIホールディングス 利益2.6倍と「70円増配」の衝撃。絶好調の決算とアパレル特有の「固定費の壁」を徹底解剖【Stock Arena】,消費・IP・小売,業績サプライズ
2026-04-12,pphVqANkxtE,ホームポジション,2999,ホームポジション(2999) 経常利益3.9倍の衝撃。通期計画を超過したのに「上方修正」が見送られた謎を徹底解剖【Stock Arena】,その他,業績サプライズ
2026-04-12,GNVK5JQjXos,バリュエンス,9270,バリュエンス（9270）株価急騰の罠。絶好調の裏に潜む「会計上の爆弾」を徹底解剖【Stock Arena】,その他,矛盾・逆説 × 急騰・需給
2026-04-11,7sIU7b-5vCA,ユニチカ,3103,【ユニチカ 3103】7倍暴騰はイナゴの錯覚。PER43倍の砂上の楼閣が崩壊する「Xデー」の真実,その他,急騰・需給 × バリュエーション・需給
